Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3158491,Export data,export,,,,epic,,,"Nov 20, 2016",,,,Can export data into excel file.,https://www.pivotaltracker.com/epic/show/3158491,,,,,,,,,,
3158487,View data,view,,,,epic,,,"Nov 20, 2016",,,,View student ID who scanend the QR code,https://www.pivotaltracker.com/epic/show/3158487,,,,,,,,,,
3157963,Responsive Event Details,event,,,,epic,,,"Nov 19, 2016",,,,Show how event details display on screen.,https://www.pivotaltracker.com/epic/show/3157963,,,,,,,,,,
3157851,QR Code Scanner,qr code,,,,epic,,,"Nov 19, 2016",,,,Used to scan Qr Code,https://www.pivotaltracker.com/epic/show/3157851,,,,,,,,,,
3157835,Sponsorship maintenance,sponsor,,,,epic,,,"Nov 19, 2016",,,,This is the module about the sponsorship maintenance includes retrieve and update sponsorship data,https://www.pivotaltracker.com/epic/show/3157835,,,,,,,,,,
3157739,Student resgitration,register,,,,epic,,,"Nov 18, 2016",,,,Student registration module,https://www.pivotaltracker.com/epic/show/3157739,,,,,,,,,,
134636591,Retrieve in Responsive ,event,1,"Nov 14, 2016","Dec 4, 2016",feature,2,accepted,"Nov 19, 2016","Nov 20, 2016",,Nick Lim,display event schedule in responsive,https://www.pivotaltracker.com/story/show/134636591,Nick Lim,,Create javascript and css style ,not completed,Link UI with javascript and css style,not completed,Run in mobile or windows or tablet view,not completed
134628675,Retrieve sponsor record,"retrieverecord, sponsor",1,"Nov 14, 2016","Dec 4, 2016",feature,2,started,"Nov 18, 2016",,,Wei Xing,Admin can display the sponsor record from the sponsor list,https://www.pivotaltracker.com/story/show/134628675,Chew Mon Hian,,connect database ,not completed,connect database and UI to display the sponsor record,not completed
134628643,Retrieve student record,"register, retrieverecord, student",1,"Nov 14, 2016","Dec 4, 2016",feature,2,started,"Nov 18, 2016",,,Wei Xing,Admin can display the crew member record from the crew member list,https://www.pivotaltracker.com/story/show/134628643,Chew Mon Hian,,connect database,not completed,connect database and UI to display the crew member record,not completed
134633511,Add Points,"qr code, student, updaterecord",1,"Nov 14, 2016","Dec 4, 2016",feature,1,started,"Nov 19, 2016",,,leo,"After Student scan Qr Code, it will add in the points into its account",https://www.pivotaltracker.com/story/show/134633511,leo,"Analyse how the organizer want it work (leo - Nov 19, 2016)",Business analyse ,not completed
134652861,"Navigation bar
","",,,,feature,2,unscheduled,"Nov 20, 2016",,,Nick Lim,a lost of menu that can navigate to different page and login and sign up,https://www.pivotaltracker.com/story/show/134652861,,,create navigation bar ,not completed,Create a list of  menu for navigation bar,not completed, Display in header of page,not completed
134652831,Retrieve Games,sponsor,,,,feature,2,unscheduled,"Nov 20, 2016",,,Nick Lim,display type of game that provided by event,https://www.pivotaltracker.com/story/show/134652831,,,create UI for display type of game,not completed,Display type of game and advertisement image.,not completed
134652815,Retrieve sponsorship detail,sponsor,,,,feature,2,unscheduled,"Nov 20, 2016",,,Nick Lim,show the type of sponsorship and participant sponsorship,https://www.pivotaltracker.com/story/show/134652815,,,connect database,not completed,create ui for display sponsorship detail,not completed,display sponsorship detail in category,not completed
134651889,Export data,"export, sponsor",,,,feature,2,unscheduled,"Nov 20, 2016",,,Chew Mon Hian,Can export data to excel file.,https://www.pivotaltracker.com/story/show/134651889,Chew Mon Hian,,Connect to database,not completed,retrieve all student id who scanned QR code,not completed,save as a excel file,not completed
134651873,View data,"sponsor, view",,,,feature,2,unscheduled,"Nov 20, 2016",,,Chew Mon Hian,Can view student ID who is scanned the QR code,https://www.pivotaltracker.com/story/show/134651873,Chew Mon Hian,,connect to database,not completed,view student id who scanned QR code,not completed
134636629,Retrieve event remaining date time,event,,,,feature,1,unscheduled,"Nov 19, 2016",,,Nick Lim,show the remaining date time of event,https://www.pivotaltracker.com/story/show/134636629,Nick Lim,,Create UI for display date time,not completed,retrieve event date time  record,not completed,calculate current date time with event date time,not completed,Display on UI,not completed
134636511,Retrieve Event Schedule,event,,,,feature,3,unscheduled,"Nov 19, 2016",,,Nick Lim,,https://www.pivotaltracker.com/story/show/134636511,Nick Lim,,Create UI for display event schedule,not completed,Display event schedule on UI that created.,not completed
134633783,Redeem Points,"qr code, student, updaterecord",,,,feature,1,unscheduled,"Nov 19, 2016",,,leo,Deduct student points to redeem some product,https://www.pivotaltracker.com/story/show/134633783,,"Analyse how the organizer actually want it work (leo - Nov 19, 2016)",Business analysis,not completed
134633423,QR Code Scanner On Web,"qr code, student",,,,feature,2,unscheduled,"Nov 19, 2016",,,leo,"Student are able to scan QR Code by using this web, they are able to use the QR Code scanner to run around the whole college to scan QR Code to earn points",https://www.pivotaltracker.com/story/show/134633423,,"Research how to actually implement the qr code scanner in website (leo - Nov 19, 2016)",Research on technology,not completed
134628623,Update student record ,"register, student, updaterecord",,,,feature,2,unscheduled,"Nov 18, 2016",,,Wei Xing,System can updates student record to the database,https://www.pivotaltracker.com/story/show/134628623,,,connect database ,not completed,connect database and UI to update crew member record,not completed
134628483,Update sponsor record,"sponsor, updaterecord",,,,feature,2,unscheduled,"Nov 18, 2016",,,Wei Xing,System  can updates the existing sponsor record,https://www.pivotaltracker.com/story/show/134628483,,,connect database ,not completed,connect database and UI and update record,not completed
134628429,Add student record,"addrecord, register, student",,,,feature,2,unscheduled,"Nov 18, 2016",,,Wei Xing,System may allow student registers and save their records into the database,https://www.pivotaltracker.com/story/show/134628429,,,connect database,not completed,connect UI and database to add record,not completed
